ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,654
1,searcher,0,Did not die,654
2,searcher,0,Did not die,654
3,searcher,0,Did not die,654
4,searcher,0,Did not die,654
5,digger,0,Did not die,654
6,digger,0,Did not die,654
7,digger,0,Did not die,654
8,digger,0,Did not die,654
9,digger,0,Did not die,654
10,digger,0,Did not die,654
11,digger,0,Did not die,654
12,digger,0,Did not die,654
13,digger,0,Did not die,654
14,digger,0,Did not die,654
15,minerBuilder,5,Did not die,654
16,minerBuilder,0,Did not die,654
17,minerBuilder,0,Did not die,654
18,minerBuilder,0,Did not die,654
19,minerBuilder,0,Did not die,654
20,superMiner,0,Did not die,654
21,superMiner,0,Did not die,654
22,superMiner,0,Did not die,654
23,superMiner,0,Did not die,654
24,superMiner,0,Did not die,654
25,ultimateMiner,5,Did not die,654
26,ultimateMiner,0,Pit,653
27,ultimateMiner,0,Pit,547
28,ultimateMiner,0,Did not die,654
29,ultimateMiner,0,Did not die,654
