ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,636
1,searcher,0,Did not die,636
2,searcher,0,Did not die,636
3,searcher,0,Did not die,636
4,searcher,0,Did not die,636
5,digger,0,Did not die,636
6,digger,0,Did not die,636
7,digger,0,Did not die,636
8,digger,0,Did not die,636
9,digger,0,Lava,618
10,minerBuilder,0,Did not die,636
11,minerBuilder,0,Did not die,636
12,minerBuilder,0,Did not die,636
13,superMiner,0,Did not die,636
14,superMiner,0,Lava,635
15,superMiner,0,Did not die,636
16,superMiner,0,Did not die,636
17,superMiner,0,Did not die,636
18,ultimateMiner,0,Did not die,636
19,ultimateMiner,0,Pit,416
20,ultimateMiner,5,Did not die,636
21,ultimateMiner,0,Pit,561
22,ultimateMiner,0,Pit,501
