ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,695
1,searcher,0,Did not die,695
2,searcher,0,Did not die,695
3,searcher,0,Did not die,695
4,searcher,0,Did not die,695
5,digger,0,Did not die,695
6,digger,0,Pit,482
7,digger,0,Did not die,695
8,digger,0,Did not die,695
9,digger,0,Did not die,695
10,digger,0,Did not die,695
11,minerBuilder,0,Did not die,695
12,minerBuilder,0,Did not die,695
13,minerBuilder,3,Did not die,695
14,minerBuilder,0,Did not die,695
15,minerBuilder,0,Lava,694
16,superMiner,0,Did not die,695
17,superMiner,0,Did not die,695
18,superMiner,0,Did not die,695
19,superMiner,0,Did not die,695
20,superMiner,0,Pit,619
21,ultimateMiner,0,Did not die,695
22,ultimateMiner,0,Pit,548
23,ultimateMiner,3,Did not die,695
24,ultimateMiner,0,Did not die,695
25,ultimateMiner,0,Did not die,695
